seat,held,held_name
NY-19,D,Antonio Delgado
PA-07,D,Susan Wild
TX-07,D,Lizzie Pannill  Fletcher
TX-32,D,Colin Allred
WA-08,D,Kim  Schrier
AZ-01,D,Tom O'Halleran
CA-48,D,Harley Rouda
FL-26,D,Debbie Mucarsel-Powell
GA-07,R,Rob Woodall
IA-03,D,Cindy Axne
IL-17,D,Cheri Bustos
MI-08,D,Elissa Slotkin
MI-11,D,Haley Stevens
NJ-03,D,Andy Kim
NJ-07,D,Tom  Malinowski
NV-03,D,Susie Lee
OR-04,D,Peter DeFazio
PA-08,D,Matthew Cartwright
PA-17,D,Conor Lamb
SC-01,D,Joe Cunningham
TX-23,R,Will Hurd
VA-02,D,Elaine Luria
VA-07,D,Abigail Spanberger
WI-03,D,Ron Kind
CA-21,D,T.J. Cox
IA-01,D,Abby Finkenauer
IA-02,D,Dave Loebsack
MN-07,D,Collin Peterson
NM-02,D,Xochitl Torres Small
NY-11,D,Max Rose
NY-22,D,Anthony Brindisi
OK-05,D,Kendra Horn
UT-04,D,Ben McAdams
AZ-06,R,David Schweikert
CA-25,R,Mike Garcia
IL-13,R,Rodney Davis
IN-05,R,Susan Brooks
MI-03,L,Justin Amash
MN-01,R,Jim Hagedorn
MO-02,R,Ann Wagner
NE-02,R,Don  Bacon
NJ-02,R,Jeff Van Drew
NY-02,R,Peter T. King
NY-24,R,John Katko
OH-01,R,Steve Chabot
PA-10,R,Scott Perry
TX-21,R,Chip Roy
TX-22,R,Pete Olson
TX-24,R,Kenny Marchant
VA-05,R,Denver Riggleman
AK-00,R,Don Young
AR-02,R,French Hill
CA-50,Q,
CO-03,R,Scott Tipton
FL-15,R,Ross Spano
MI-06,R,Fred Upton
MT-00,R,Greg Gianforte 
NC-08,R,Richard Hudson
NC-09,R,Dan Bishop
NC-11,Q,
NY-01,R,Lee Zeldin
PA-01,R,Brian   Fitzpatrick
TX-03,R,Van Taylor
TX-10,R,Michael McCaul
WA-03,R,Jaime Herrera Beutler
CA-04,R,Tom McClintock
CA-22,R,Devin Nunes
FL-16,R,Vern Buchanan
FL-18,R,Brian  Mast
KS-02,R,Steve Watkins
KY-06,R,Andy Barr
OH-10,R,Michael Turner
OH-12,R,Troy Balderson
PA-16,R,Mike Kelly
TX-02,R,Dan Crenshaw
TX-06,R,Ron  Wright
TX-25,R,Roger Williams
TX-31,R,John Carter
AL-01,R,Bradley Byrne
AL-02,R,Martha Roby
AL-03,R,Mike Rogers
AL-04,R,Robert Aderholt
AL-05,R,Mo Brooks
AL-06,R,Gary Palmer
AR-01,R,Eric Crawford
AR-03,R,Steve Womack
AR-04,R,Bruce Westerman
AZ-04,R,Paul Gosar
AZ-05,R,Andy Biggs
AZ-08,R,Debbie Lesko
CA-01,R,Doug LaMalfa
CA-08,R,Paul Cook
CA-23,R,Kevin McCarthy
CA-42,R,Ken Calvert
CO-04,R,Ken Buck
CO-05,R,Doug Lamborn
FL-01,R,Matt Gaetz
FL-02,R,Neal  Dunn
FL-03,R,Ted Yoho
FL-04,R,John Rutherford
FL-06,R,Michael Waltz
FL-08,R,Bill Posey
FL-11,R,Daniel Webster
FL-12,R,Gus Bilirakis
FL-17,R,Greg Steube
FL-19,R,Francis Rooney
FL-25,R,Mario Diaz-Balart
GA-01,R,Buddy Carter
GA-03,R,Drew  Ferguson
GA-08,R,Austin Scott
GA-09,R,Doug Collins
GA-10,R,Jody Hice
GA-11,R,Barry Loudermilk
GA-12,R,Rick Allen
GA-14,Q,
IA-04,R,Steve King
ID-01,R,Russ Fulcher
